Authors,Title,Year,Source
"Y Wang, B Blobel, B Yang",Reinforcing health data sharing through data democratization,2022,Journal of Personalized Medicine
"R Gupta, P Kanungo, N Dagdee, G Madhu, KS Sahoo…",Secured and privacy-preserving multi-authority access control system for cloud-based healthcare data sharing,2023,Sensors
"KP Seastedt, P Schwab, Z O'Brien, E Wakida…","Global healthcare fairness: We should be sharing more, not less, data",2022,PLOS Digital …
"A Pugazhenthi, D Chitra",Data access control and secured data sharing approach for health care data in cloud environment,2019,Journal of medical systems
"M Habib, MA Kabir, L Zheng",LEISA: A Scalable Microservice-based System for Efficient Livestock Data Sharing,2025,arXiv preprint arXiv:2501.14781
"A Smid, R Wang, T Cerny",Case study on data communication in microservice architecture,2019,Proceedings of the Conference on Research …
"S Roca, J Sancho, J García, Á Alesanco",Microservice chatbot architecture for chronic patient support,2020,Journal of biomedical informatics
"K Miao, J Li, W Hong, M Chen",A Microservice‐Based Big Data Analysis Platform for Online Educational Applications,2020,Scientific Programming
"JA Bigheti, MM Fernandes…",Control as a service: a microservice approach to Industry 4.0,2019,2019 II Workshop on …
"A Furda, C Fidge, O Zimmermann, W Kelly…","Migrating enterprise legacy source code to microservices: on multitenancy, statefulness, and data consistency",2017,Ieee …
"H Liu, L Qi, S Shen, AA Khan…",Microservice‐driven privacy‐aware cross‐platform social relationship prediction based on sequential information,2024,software: Practice and …
"K Munonye, P Martinek",Evaluation of data storage patterns in microservices archicture,2020,2020 IEEE 15th International …
"W Lu, Q Xu, C Lan, L Lyu, Y Zhou…",Microservice‐Based Platform for Space Situational Awareness Data Analytics,2020,International Journal of …
"J Lian, M Gao",Design and implementation of network information service platform based on microservice architecture,2020,Journal of Physics: Conference Series
"N Alshuqayran, N Ali, R Evans",A systematic mapping study in microservice architecture,2016,2016 IEEE 9th international …
"G Sebastián, JA Gallud, R Tesoriero",Code generation using model driven architecture: A systematic mapping study,2020,Journal of Computer Languages
"A Mehmood, DNA Jawawi",Aspect-oriented model-driven code generation: A systematic mapping study,2013,Information and Software Technology
"D Gurunule, M Nashipudimath",A review: analysis of aspect orientation and model driven engineering for code generation,2015,Procedia Computer Science
"MJ Rutherford, AL Wolf",A case for test-code generation in model-driven systems,2003,International Conference on Generative …
"JA Barriga, PJ Clemente, MA Pérez-Toledano…","Design, code generation and simulation of IoT environments with mobility devices by using model-driven development: SimulateIoT-Mobile",2023,Pervasive and Mobile …
"MK Shiferaw, AK Jena",Code generator for model-driven software development using UML models,2018,2018 Second International Conference …
"M Bhadra, DS Lopera, R Kunzelmann…",A model-driven architecture approach to accelerate software code generation,2024,2024 7th International …
A Wąsowski,Code generation and model driven development for constrained embedded software,2005,
"M Nassar, A Anwar, S Ebersold, B Elasri…",Code generation in VUML profile: A model driven approach,2009,2009 IEEE/ACS …
M Völter,Best practices for DSLs and model-driven development,2009,Journal of Object Technology
"M Bhadra, D Albert, U Yun…",A model-driven architecture approach to efficient and adaptable software code generation,2024,MBMV 2024; 27 …
"Ó Pastor, S España",Full model-driven practice: from requirements to code generation,2012,"… : 24th International Conference, CAiSE 2012, Gdansk …"
S Jörges,Construction and evolution of code generators: A model-driven and service-oriented approach,2013,
S Philippi,Automatic code generation from high-level Petri-Nets for model driven systems engineering,2006,Journal of Systems and Software
"PE Papotti, AF do Prado, WL de Souza…",A quantitative analysis of model-driven code generation through software experimentation,2013,"… , CAiSE 2013, Valencia …"
"J Bennett, K Cooper, L Dai",Aspect-oriented model-driven skeleton code generation: A graph-based transformation approach,2010,Science of Computer Programming
"JO Ringert, A Roth, B Rumpe…",Language and code generator composition for model-driven engineering of robotics component &connector systems,2015,Journal of Software …
"J Ruiz, E Serral, M Snoeck",Evaluating user interface generation approaches: model-based versus model-driven development,2019,Software &Systems Modeling
"A Calderón, J Boubeta-Puig, M Ruiz","MEdit4CEP-Gam: A model-driven approach for user-friendly gamification design, monitoring and code generation in CEP-based systems",2018,Information and Software Technology
"A Schmidt, D Kimmig, K Bittner…","Teaching model-driven software development: revealing the"" great miracle"" of code generation to students",2014,… of the Sixteenth …
"M Jurgelaitis, R Butkienė",Solidity code generation from UML state machines in model-driven smart contract development,2022,IEEE Access
"D Kaestner, C Rustemeier, U Kiffmeier, D Fleischer…",Model-driven code generation and analysis,2014,
"PW Burke, P Sweany",Automatic code generation through model-driven design,2007,"University of North Texas, Denton, Texas"
DC Schmidt,Model-driven engineering,2006,Computer-IEEE Computer Society-
"N Moebius, K Stenzel, H Grandy…",Model-driven code generation for secure smart card applications,2009,2009 Australian Software …
"M Brambilla, J Cabot, M Wimmer",Model-driven software engineering in practice,2017,
"D Gessenharter, M Rauscher",Code Generation for UML 2 Activity Diagrams: Towards a Comprehensive Model-driven Development Approach,2011,"… , ECMFA 2011, Birmingham, UK, June 6-9 …"
"B Steffen, T Margaria, R Nagel, S Jörges…",Model-driven development with the jABC,2006,Haifa verification …
"SJ Mellor, AN Clark, T Futagami",Model-driven development,2003,IEEE software
"C Schlegel, T Haßler, A Lotz…",Robotic software systems: From code-driven to model-driven designs,2009,… Conference on Advanced …
"AR Sadik, S Brulin, M Olhofer, A Ceravola…",LLM as a code generator in Agile Model Driven Development,2024,arXiv preprint arXiv …
"D Alonso, C Vicente-Chicote, P Sánchez…",Automatic Ada code generation using a model-driven engineering approach,2007,… Conference on Reliable …
"S Raedler, M Rupp, E Rigger…",Code generation for machine learning using model-driven engineering and sysml,2023,arXiv preprint arXiv …
"BP Lamancha, P Reales, M Polo, D Caivano",Model-driven test code generation,2011,International Conference on …
"E Falzone, C Bernaschina",Intelligent code generation for model driven web development,2018,Current Trends in Web Engineering: ICWE …
"M Krunic, I Letvencuk, I Povazan…",An approach to model driven development and automatic source code generation of GUI controls,2013,2013 IEEE 11th …
"C Schlegel, A Steck, A Lotz",Robotic software systems: From code-driven to model-driven software development,2012,Robotic Systems-Applications …
"K Balasubramanian, A Gokhale, G Karsai…",Developing applications using model-driven design environments,2006,Computer
"J Klein, H Levinson, J Marchetti",Model-driven engineering: Automatic code generation and beyond,2015,CMU/SEI-2015-TN-005
"M Skotnica, J Klicpera, R Pergl",Towards model-driven smart contract systems-code generation and improving expressivity of smart contract modeling,2020,Proc. EEWC
"M Anastaspoulos, T Forster, D Muthig",Optimizing model-driven development by deriving code generation patterns from product line architectures,2005,NetObject Days 2005
"WJ Ray, A Farrar",Object model driven code generation for the enterprise,2001,… on Rapid System Prototyping. RSP 2001
"C Schlegel, A Steck, D Brugali, A Knoll",Design abstraction and processes in robotics: From code-driven to model-driven engineering,2010,"Simulation, Modeling, and …"
"JO Ringert, A Roth, B Rumpe, A Wortmann",Code generator composition for model-driven engineering of robotics component &connector systems,2015,arXiv preprint arXiv …
E Posse,PapyrusRT: modelling and code generation,2015,Workshop on Open Source for Model Driven …
"D Basin, M Clavel, M Egea",A decade of model-driven security,2011,Proceedings of the 16th ACM symposium …
"S Giallorenzo, F Montesi…",Model-Driven Code Generation for Microservices: Service Models.,2023,… of the Third and …
"AZ Javed, PA Strooper…",Automated generation of test cases using model-driven architecture,2007,… International Workshop on …
"K Yotov, X Li, G Ren, M Cibulskis, G DeJong…",A comparison of empirical and model-driven optimization,2003,Proceedings of the …
