Authors,Title,Year,Source,Inclusion Decision,Reason
"Y Zhang, D He, KKR Choo",BaDS: blockchain‐based architecture for data sharing with ABS and CP‐ABE in IoT,2018,Wireless Communications and …,No,Excluded (E2): Technical system implementation without policy modeling
"I Gupta, N Singh, AK Singh",Layer-based privacy and security architecture for cloud data sharing,2019,Journal of Communications Software and …,No,Excluded (E3): Out of scope for policy modeling or code generation
"P Arzberger, P Schroeder, A Beaulieu, G Bowker, ...",An international framework to promote access to data,2004,Science,No,Excluded (E1): Early publication
"D Bechtsis, N Tsolakis, E Iakovou, ...","Data-driven secure, resilient and sustainable supply chains: gaps, opportunities, and a new generalised data sharing and data monetisation framework",2022,International Journal of …,No,Excluded (E3): Out of scope for policy modeling or code generation
"J Shen, D Liu, J Shen, Q Liu, X Sun",A secure cloud-assisted urban data sharing framework for ubiquitous-cities,2017,Pervasive and mobile Computing,No,Excluded (E3): Out of scope for policy modeling or code generation
"Y Miao, Q Tong, KKR Choo, X Liu, ...",Secure online/offline data sharing framework for cloud-assisted industrial Internet of Things,2019,IEEE Internet of …,No,Excluded (E3): Out of scope for policy modeling or code generation
"S Wang, Y Zhang, Y Zhang",A blockchain-based framework for data sharing with fine-grained access control in decentralized storage systems,2018,Ieee Access,No,Excluded (E2): Technical system implementation without policy modeling
ES Dove,"Biobanks, data sharing, and the drive for a global privacy governance framework",2015,"Journal of Law, Medicine &Ethics",No,Excluded (E3): Out of scope for policy modeling or code generation
"J Strassner, WW Diab",A semantic interoperability architecture for Internet of Things data sharing and computing,2016,2016 IEEE 3rd World Forum on Internet …,No,Excluded (E3): Out of scope for policy modeling or code generation
"I Hrynaszkiewicz, N Simons, ...",Developing a research data policy framework for all journals and publishers,2020,Data Science …,No,Excluded (E3): Out of scope for policy modeling or code generation
"D Ferraiolo, V Atluri, S Gavrila",The Policy Machine: A novel architecture and framework for access control policy specification and enforcement,2011,Journal of Systems Architecture,No,Excluded (E1): Early publication
"P Nguyen, HH Nguyen, P Phung, HL Truong, ...",Advanced Context-Sensitive Access Management for Edge-Driven IoT Data Sharing as a Service,2025,ACM Transactions on …,No,Excluded (E2): Technical system implementation without policy modeling
"U Narayanan, V Paul, S Joseph",A novel system architecture for secure authentication and data sharing in cloud enabled Big Data Environment,2022,… of King Saud University-Computer and …,No,Excluded (E3): Out of scope for policy modeling or code generation
"A Mitrovska, B Shariati, P Safari, ...",Data governance framework for telemetry sharing,2024,ECOC 2024; 50th …,No,Excluded (E3): Unrelated to policy modeling or microservice/code generation
"D Frincke, D Tobin, J McConnell, ...",A framework for cooperative intrusion detection,1998,Proc. 21st NIST …,No,Excluded (E1): Early publication
"DS Sayogo, J Zhang, L Luna-Reyes, H Jarman, ...",Challenges and requirements for developing data architecture supporting integration of sustainable supply chains,2015,Information Technology …,No,Excluded (E3): Unrelated to policy modeling or microservice/code generation
"J Jin, GJ Ahn, H Hu, MJ Covington, ...",Patient-centric authorization framework for sharing electronic health records,2009,Proceedings of the 14th …,No,Excluded (E1): Early publication
"T Wang, Z Su, Y Xia, M Hamdi","Rethinking the data center networking: Architecture, network protocols, and resource sharing",2014,IEEE access,No,Excluded (E3): Unrelated to policy modeling or microservice/code generation
"E Coles, H Cheyne, J Rankin, B Daniel","Getting it right for every child: a national policy framework to promote children's well‐being in Scotland, United Kingdom",2016,The Milbank Quarterly,No,Excluded (E3): Out of scope for policy modeling or code generation
"C Dsouza, GJ Ahn, M Taguinod",Policy-driven security management for fog computing: Preliminary framework and a case study,2014,Proceedings of the 2014 IEEE …,No,Excluded (E3): Out of scope for policy modeling or code generation
D Patel,Research data management: a conceptual framework,2016,Library review,No,Excluded (E3): Unrelated to policy modeling or microservice/code generation
"AK Shrestha, J Vassileva",Blockchain-based research data sharing framework for incentivizing the data owners,2018,International Conference on Blockchain,No,Excluded (E2): Technical system implementation without policy modeling
"RK Mishra, RK Yadav, P Nath",Secure IoT data management and sharing architecture for information security using cryptographic technique,2023,Journal of Intelligent &Fuzzy …,No,Excluded (E2): Technical system implementation without policy modeling
"F Crespi, S Caravella, M Menghini, C Salvatori",European technological sovereignty: an emerging framework for policy strategy,2021,Intereconomics,No,Excluded (E3): Out of scope for policy modeling or code generation
"Y Hao, C Piao, Y Zhao, X Jiang",Privacy preserving government data sharing based on hyperledger blockchain,2019,International Conference on e-Business …,No,Excluded (E2): Technical system implementation without policy modeling
"M Smith, LM Lix, M Azimaee, JE Enns, ...",Assessing the quality of administrative data for research: a framework from the Manitoba Centre for Health Policy,2018,Journal of the …,No,Excluded (E3): Out of scope for policy modeling or code generation
JC Smart,Process and framework for facilitating data sharing using a distributed hypergraph,2018,"US Patent 9,996,567",No,Excluded (E3): Out of scope for policy modeling or code generation
"J Sun, L Ren, S Wang, X Yao",A blockchain-based framework for electronic medical records sharing with fine-grained access control,2020,Plos one,No,Excluded (E2): Technical system implementation without policy modeling
"Y Miao, X Liu, KKR Choo, RH Deng, ...",Fair and dynamic data sharing framework in cloud-assisted internet of everything,2019,IEEE Internet of Things …,No,Excluded (E3): Out of scope for policy modeling or code generation
"HK Tabor, BE Berkman, SC Hull, ...",Genomics really gets personal: how exome and whole genome sequencing challenge the ethical framework of human genetics research,2011,American Journal of …,No,Excluded (E1): Early publication
"Z Nedovic-Budic, JK Pinto",Understanding interorganizational GIS activities: A conceptual framework,1999,Urisa-Washington Dc-,No,Excluded (E1): Early publication
"A Oltramari, D Piraviperumal, F Schaub, ...",PrivOnto: a semantic framework for the analysis of privacy policies,2018,Semantic …,No,Excluded (E3): Out of scope for policy modeling or code generation
"D Whicher, M Ahmed, S Siddiqui, I Adams…",Health data sharing to support better outcomes,2020,"… , DC: National Academy …",No,Excluded (E3): Out of scope for policy modeling or code generation
"A Blasimme, M Fadda, M Schneider, E Vayena",Data sharing for precision medicine: policy lessons and future directions,2018,Health Affairs,No,Excluded (E3): Out of scope for policy modeling or code generation
"N Waithira, B Mutinda, PY Cheah",Data management and sharing policy: the first step towards promoting data sharing,2019,BMC medicine,No,Excluded (E3): Out of scope for policy modeling or code generation
"F Rezaeibagha, Y Mu",Distributed clinical data sharing via dynamic access-control policy transformation,2016,International journal of medical informatics,Yes,Selected as relevant primary study
"ES Dove, M Phillips","Privacy law, data sharing policies, and medical data: a comparative perspective",2015,Medical data privacy handbook,No,Excluded (E5): Ethical/conceptual discussion without technical contribution
"KK Kim, JG Joseph…",Comparison of consumers' views on electronic data sharing for healthcare and research,2015,Journal of the American …,No,Excluded (E3): Out of scope for policy modeling or code generation
F Alfonso,Data sharing,2017,,No,Excluded (E3): Out of scope for policy modeling or code generation
LA Moon,Factors influencing health data sharing preferences of consumers: A critical review,2017,Health policy and technology,No,Excluded (E3): Out of scope for policy modeling or code generation
"V Papageorgiou, A Wharton-Smith, I Campos-Matos…",Patient data-sharing for immigration enforcement: a qualitative study of healthcare providers in England,2020,BMJ open,No,Excluded (E3): Unrelated to policy modeling or microservice/code generation
"S Banerjee, T Hemphill, P Longstreet",Wearable devices and healthcare: Data sharing and privacy,2018,The Information Society,No,Excluded (E3): Out of scope for policy modeling or code generation
"A Panagopoulos, T Minssen, K Sideri, H Yu…",Incentivizing the sharing of healthcare data in the AI Era,2022,Computer Law & …,No,Excluded (E3): Unrelated to policy modeling or microservice/code generation
"HL Rehm, AJH Page, L Smith, JB Adams, G Alterovitz…",GA4GH: International policies and standards for data sharing across genomic research and healthcare,2021,Cell genomics,No,Excluded (E3): Out of scope for policy modeling or code generation
"L Fang, C Yin, J Zhu, C Ge, M Tanveer…",Privacy protection for medical data sharing in smart healthcare,2020,ACM Transactions on …,No,Excluded (E3): Out of scope for policy modeling or code generation
"A Youssef, MY Ng, J Long…",Organizational factors in clinical data sharing for artificial intelligence in health care,2023,JAMA Network …,No,Excluded (E3): Out of scope for policy modeling or code generation
"B Malin, D Karp…",Technical and policy approaches to balancing patient privacy and data sharing in clinical and translational research,2010,Journal of Investigative …,No,Excluded (E1): Early publication
"I Matteucci, P Mori, M Petrocchi…",Controlled data sharing in E-health,2011,2011 1st Workshop on …,No,Excluded (E1): Early publication
"RE Foraker, AM Lai, TG Kannampallil…",Transmission dynamics: data sharing in the COVID‐19 era,2021,Learning Health …,No,Excluded (E3): Out of scope for policy modeling or code generation
"A Kharlamov, R Hohmann, G Parry",Data sharing decisions: Perceptions and intentions in healthcare,2023,Strategic Change,No,Excluded (E3): Out of scope for policy modeling or code generation
"J Bowles, T Webber, E Blackledge…",A blockchain-based healthcare platform for secure personalised data sharing,2021,Public Health and …,No,Excluded (E2): Technical system implementation without policy modeling
"JWTM de Kok, MÁA de la Hoz, Y de Jong, V Brokke…",A guide to sharing open healthcare data under the General Data Protection Regulation,2023,Scientific data,No,Excluded (E3): Unrelated to policy modeling or microservice/code generation
"L Savage, M Gaynor, J Adler-Milstein",Digital health data and information sharing: A new frontier for health care competition,2018,Antitrust LJ,No,Excluded (E3): Unrelated to policy modeling or microservice/code generation
"S Courbier, R Dimond, V Bros-Facer",Share and protect our health data: an evidence based approach to rare disease patients' perspectives on data sharing and data protection-quantitative survey …,2019,Orphanet journal of rare diseases,No,Excluded (E5): Ethical/conceptual discussion without technical contribution
"J Adler-Milstein, AK Jha",Sharing clinical data electronically: a critical challenge for fixing the health care system,2012,JAMA,No,Excluded (E1): Early publication
"A Choudhury, C Sun, A Dekker, M Dumontier…","Privacy-preserving federated data analysis: data sharing, protection, and bioethics in healthcare",2022,Machine and Deep …,No,Excluded (E3): Out of scope for policy modeling or code generation
"RD Jones, C Krenz, KA Griffith, R Spence…","Patient experiences, trust, and preferences for health data sharing",2022,JCO Oncology …,No,Excluded (E3): Out of scope for policy modeling or code generation
"S Kalkman, M Mostert, C Gerlinger, JJM van Delden…",Responsible data sharing in international health research: a systematic review of principles and norms,2019,BMC medical …,No,Excluded (E5): Ethical/conceptual discussion without technical contribution
"Q Huang, L Wang, Y Yang",Secure and privacy‐preserving data sharing and collaboration in Mobile healthcare social networks of smart cities,2017,Security and Communication …,No,Excluded (E3): Out of scope for policy modeling or code generation
M Shabani,Will the European Health Data Space change data sharing rules?,2022,Science,No,Excluded (E3): Out of scope for policy modeling or code generation
"A Rowhani-Farid, M Allen, AG Barnett",What incentives increase data sharing in health and medical research? A systematic review,2017,Research integrity and peer review,No,Excluded (E5): Ethical/conceptual discussion without technical contribution
"M Raj, K Ryan, PS Amara, P Nong, K Calhoun…",Policy preferences regarding health data sharing among patients with cancer: public deliberations,2023,JMIR cancer,No,Excluded (E3): Out of scope for policy modeling or code generation
"H Wimmer, VY Yoon, V Sugumaran",A multi-agent system to support evidence based medicine and clinical decision making via data sharing and data privacy,2016,Decision Support Systems,No,Excluded (E3): Out of scope for policy modeling or code generation
"O Lounsbury, L Roberts, JR Goodman, P Batey…",Opening a “can of worms” to explore the public's hopes and fears about health care data sharing: Qualitative study,2021,Journal of Medical …,No,Excluded (E3): Out of scope for policy modeling or code generation
"E Tweed, K Cimova, P Craig, M Allik…",Unlocking data: Decision-maker perspectives on cross-sectoral data sharing and linkage as part of a whole-systems approach to public health policy and practice,2024,Public Health …,No,Excluded (E5): Ethical/conceptual discussion without technical contribution
"CL Cole, S Sengupta, S Rossetti…",Ten principles for data sharing and commercialization,2021,Journal of the …,No,Excluded (E3): Out of scope for policy modeling or code generation
"D Rankin, M Black, R Bond, J Wallace…",Reliability of supervised machine learning using synthetic data in health care: model to preserve privacy for data sharing,2020,JMIR medical …,No,Excluded (E3): Out of scope for policy modeling or code generation
"Y Wang, B Blobel, B Yang",Reinforcing health data sharing through data democratization,2022,Journal of Personalized Medicine,No,Excluded (E3): Out of scope for policy modeling or code generation
"R Gupta, P Kanungo, N Dagdee, G Madhu, KS Sahoo…",Secured and privacy-preserving multi-authority access control system for cloud-based healthcare data sharing,2023,Sensors,No,Excluded (E3): Out of scope for policy modeling or code generation
"KP Seastedt, P Schwab, Z O'Brien, E Wakida…","Global healthcare fairness: We should be sharing more, not less, data",2022,PLOS Digital …,No,Excluded (E3): Unrelated to policy modeling or microservice/code generation
"A Pugazhenthi, D Chitra",Data access control and secured data sharing approach for health care data in cloud environment,2019,Journal of medical systems,No,Excluded (E3): Out of scope for policy modeling or code generation
"M Habib, MA Kabir, L Zheng",LEISA: A Scalable Microservice-based System for Efficient Livestock Data Sharing,2025,arXiv preprint arXiv:2501.14781,Yes,Selected as relevant primary study
"A Smid, R Wang, T Cerny",Case study on data communication in microservice architecture,2019,Proceedings of the Conference on Research …,No,Excluded (E3): Out of scope for policy modeling or code generation
"S Roca, J Sancho, J García, Á Alesanco",Microservice chatbot architecture for chronic patient support,2020,Journal of biomedical informatics,No,Excluded (E3): Out of scope for policy modeling or code generation
"K Miao, J Li, W Hong, M Chen",A Microservice‐Based Big Data Analysis Platform for Online Educational Applications,2020,Scientific Programming,No,Excluded (E3): Out of scope for policy modeling or code generation
"JA Bigheti, MM Fernandes…",Control as a service: a microservice approach to Industry 4.0,2019,2019 II Workshop on …,No,Excluded (E3): Out of scope for policy modeling or code generation
"A Furda, C Fidge, O Zimmermann, W Kelly…","Migrating enterprise legacy source code to microservices: on multitenancy, statefulness, and data consistency",2017,Ieee …,No,Excluded (E3): Out of scope for policy modeling or code generation
"H Liu, L Qi, S Shen, AA Khan…",Microservice‐driven privacy‐aware cross‐platform social relationship prediction based on sequential information,2024,software: Practice and …,No,Excluded (E3): Out of scope for policy modeling or code generation
"K Munonye, P Martinek",Evaluation of data storage patterns in microservices archicture,2020,2020 IEEE 15th International …,No,Excluded (E3): Out of scope for policy modeling or code generation
"W Lu, Q Xu, C Lan, L Lyu, Y Zhou…",Microservice‐Based Platform for Space Situational Awareness Data Analytics,2020,International Journal of …,No,Excluded (E3): Out of scope for policy modeling or code generation
"J Lian, M Gao",Design and implementation of network information service platform based on microservice architecture,2020,Journal of Physics: Conference Series,No,Excluded (E3): Out of scope for policy modeling or code generation
"N Alshuqayran, N Ali, R Evans",A systematic mapping study in microservice architecture,2016,2016 IEEE 9th international …,No,Excluded (E3): Out of scope for policy modeling or code generation
"G Sebastián, JA Gallud, R Tesoriero",Code generation using model driven architecture: A systematic mapping study,2020,Journal of Computer Languages,No,Excluded (E3): Out of scope for policy modeling or code generation
"A Mehmood, DNA Jawawi",Aspect-oriented model-driven code generation: A systematic mapping study,2013,Information and Software Technology,No,Excluded (E3): Out of scope for policy modeling or code generation
"D Gurunule, M Nashipudimath",A review: analysis of aspect orientation and model driven engineering for code generation,2015,Procedia Computer Science,No,Excluded (E3): Out of scope for policy modeling or code generation
"MJ Rutherford, AL Wolf",A case for test-code generation in model-driven systems,2003,International Conference on Generative …,No,Excluded (E1): Early publication
"JA Barriga, PJ Clemente, MA Pérez-Toledano…","Design, code generation and simulation of IoT environments with mobility devices by using model-driven development: SimulateIoT-Mobile",2023,Pervasive and Mobile …,No,Excluded (E2): Technical system implementation without policy modeling
"MK Shiferaw, AK Jena",Code generator for model-driven software development using UML models,2018,2018 Second International Conference …,No,Excluded (E3): Out of scope for policy modeling or code generation
"M Bhadra, DS Lopera, R Kunzelmann…",A model-driven architecture approach to accelerate software code generation,2024,2024 7th International …,No,Excluded (E3): Out of scope for policy modeling or code generation
A Wąsowski,Code generation and model driven development for constrained embedded software,2005,,No,Excluded (E1): Early publication
"M Nassar, A Anwar, S Ebersold, B Elasri…",Code generation in VUML profile: A model driven approach,2009,2009 IEEE/ACS …,No,Excluded (E1): Early publication
M Völter,Best practices for DSLs and model-driven development,2009,Journal of Object Technology,No,Excluded (E1): Early publication
"M Bhadra, D Albert, U Yun…",A model-driven architecture approach to efficient and adaptable software code generation,2024,MBMV 2024; 27 …,No,Excluded (E3): Out of scope for policy modeling or code generation
"Ó Pastor, S España",Full model-driven practice: from requirements to code generation,2012,"… : 24th International Conference, CAiSE 2012, Gdansk …",No,Excluded (E1): Early publication
S Jörges,Construction and evolution of code generators: A model-driven and service-oriented approach,2013,,No,Excluded (E3): Out of scope for policy modeling or code generation
S Philippi,Automatic code generation from high-level Petri-Nets for model driven systems engineering,2006,Journal of Systems and Software,No,Excluded (E1): Early publication
"PE Papotti, AF do Prado, WL de Souza…",A quantitative analysis of model-driven code generation through software experimentation,2013,"… , CAiSE 2013, Valencia …",No,Excluded (E3): Out of scope for policy modeling or code generation
"J Bennett, K Cooper, L Dai",Aspect-oriented model-driven skeleton code generation: A graph-based transformation approach,2010,Science of Computer Programming,No,Excluded (E1): Early publication
"JO Ringert, A Roth, B Rumpe…",Language and code generator composition for model-driven engineering of robotics component &connector systems,2015,Journal of Software …,No,Excluded (E3): Out of scope for policy modeling or code generation
"J Ruiz, E Serral, M Snoeck",Evaluating user interface generation approaches: model-based versus model-driven development,2019,Software &Systems Modeling,No,Excluded (E3): Out of scope for policy modeling or code generation
"A Calderón, J Boubeta-Puig, M Ruiz","MEdit4CEP-Gam: A model-driven approach for user-friendly gamification design, monitoring and code generation in CEP-based systems",2018,Information and Software Technology,No,Excluded (E3): Out of scope for policy modeling or code generation
"A Schmidt, D Kimmig, K Bittner…","Teaching model-driven software development: revealing the"" great miracle"" of code generation to students",2014,… of the Sixteenth …,No,Excluded (E3): Out of scope for policy modeling or code generation
"M Jurgelaitis, R Butkienė",Solidity code generation from UML state machines in model-driven smart contract development,2022,IEEE Access,No,Excluded (E3): Out of scope for policy modeling or code generation
"D Kaestner, C Rustemeier, U Kiffmeier, D Fleischer…",Model-driven code generation and analysis,2014,,No,Excluded (E3): Out of scope for policy modeling or code generation
"PW Burke, P Sweany",Automatic code generation through model-driven design,2007,"University of North Texas, Denton, Texas",No,Excluded (E1): Early publication
DC Schmidt,Model-driven engineering,2006,Computer-IEEE Computer Society-,No,Excluded (E1): Early publication
"N Moebius, K Stenzel, H Grandy…",Model-driven code generation for secure smart card applications,2009,2009 Australian Software …,No,Excluded (E1): Early publication
"M Brambilla, J Cabot, M Wimmer",Model-driven software engineering in practice,2017,,No,Excluded (E3): Out of scope for policy modeling or code generation
"D Gessenharter, M Rauscher",Code Generation for UML 2 Activity Diagrams: Towards a Comprehensive Model-driven Development Approach,2011,"… , ECMFA 2011, Birmingham, UK, June 6-9 …",No,Excluded (E1): Early publication
"B Steffen, T Margaria, R Nagel, S Jörges…",Model-driven development with the jABC,2006,Haifa verification …,No,Excluded (E1): Early publication
"SJ Mellor, AN Clark, T Futagami",Model-driven development,2003,IEEE software,No,Excluded (E1): Early publication
"C Schlegel, T Haßler, A Lotz…",Robotic software systems: From code-driven to model-driven designs,2009,… Conference on Advanced …,No,Excluded (E1): Early publication
"AR Sadik, S Brulin, M Olhofer, A Ceravola…",LLM as a code generator in Agile Model Driven Development,2024,arXiv preprint arXiv …,No,Excluded (E3): Unrelated to policy modeling or microservice/code generation
"D Alonso, C Vicente-Chicote, P Sánchez…",Automatic Ada code generation using a model-driven engineering approach,2007,… Conference on Reliable …,No,Excluded (E1): Early publication
"S Raedler, M Rupp, E Rigger…",Code generation for machine learning using model-driven engineering and sysml,2023,arXiv preprint arXiv …,No,Excluded (E3): Out of scope for policy modeling or code generation
"BP Lamancha, P Reales, M Polo, D Caivano",Model-driven test code generation,2011,International Conference on …,No,Excluded (E1): Early publication
"E Falzone, C Bernaschina",Intelligent code generation for model driven web development,2018,Current Trends in Web Engineering: ICWE …,No,Excluded (E3): Out of scope for policy modeling or code generation
"M Krunic, I Letvencuk, I Povazan…",An approach to model driven development and automatic source code generation of GUI controls,2013,2013 IEEE 11th …,No,Excluded (E3): Out of scope for policy modeling or code generation
"C Schlegel, A Steck, A Lotz",Robotic software systems: From code-driven to model-driven software development,2012,Robotic Systems-Applications …,No,Excluded (E1): Early publication
"K Balasubramanian, A Gokhale, G Karsai…",Developing applications using model-driven design environments,2006,Computer,No,Excluded (E1): Early publication
"J Klein, H Levinson, J Marchetti",Model-driven engineering: Automatic code generation and beyond,2015,CMU/SEI-2015-TN-005,No,Excluded (E3): Out of scope for policy modeling or code generation
"M Skotnica, J Klicpera, R Pergl",Towards model-driven smart contract systems-code generation and improving expressivity of smart contract modeling,2020,Proc. EEWC,No,Excluded (E3): Out of scope for policy modeling or code generation
"M Anastaspoulos, T Forster, D Muthig",Optimizing model-driven development by deriving code generation patterns from product line architectures,2005,NetObject Days 2005,No,Excluded (E1): Early publication
"WJ Ray, A Farrar",Object model driven code generation for the enterprise,2001,… on Rapid System Prototyping. RSP 2001,No,Excluded (E1): Early publication
"C Schlegel, A Steck, D Brugali, A Knoll",Design abstraction and processes in robotics: From code-driven to model-driven engineering,2010,"Simulation, Modeling, and …",No,Excluded (E1): Early publication
"JO Ringert, A Roth, B Rumpe, A Wortmann",Code generator composition for model-driven engineering of robotics component &connector systems,2015,arXiv preprint arXiv …,No,Excluded (E3): Out of scope for policy modeling or code generation
E Posse,PapyrusRT: modelling and code generation,2015,Workshop on Open Source for Model Driven …,No,Excluded (E3): Out of scope for policy modeling or code generation
"D Basin, M Clavel, M Egea",A decade of model-driven security,2011,Proceedings of the 16th ACM symposium …,No,Excluded (E1): Early publication
"S Giallorenzo, F Montesi…",Model-Driven Code Generation for Microservices: Service Models.,2023,… of the Third and …,Yes,Selected as relevant primary study
"AZ Javed, PA Strooper…",Automated generation of test cases using model-driven architecture,2007,… International Workshop on …,No,Excluded (E1): Early publication
"K Yotov, X Li, G Ren, M Cibulskis, G DeJong…",A comparison of empirical and model-driven optimization,2003,Proceedings of the …,No,Excluded (E1): Early publication
